iter	Passed	Remaining
922	1778	148
923	1779	146
924	1781	144
925	1782	142
926	1783	140
927	1785	138
928	1788	136
929	1789	134
930	1790	132
931	1792	130
932	1793	128
933	1794	126
934	1796	124
935	1797	122
936	1798	120
937	1800	118
938	1803	117
939	1804	115
940	1806	113
941	1807	111
942	1808	109
943	1810	107
944	1811	105
945	1813	103
946	1814	101
947	1817	99
948	1819	97
949	1820	95
950	1822	93
951	1823	91
952	1824	89
953	1825	88
954	1827	86
955	1828	84
956	1829	82
957	1832	80
958	1834	78
959	1835	76
960	1836	74
961	1838	72
962	1839	70
963	1840	68
964	1842	66
965	1843	64
966	1844	62
967	1847	61
968	1848	59
969	1850	57
970	1851	55
971	1852	53
972	1854	51
973	1855	49
974	1856	47
975	1858	45
976	1859	43
977	1862	41
978	1864	39
979	1865	38
980	1866	36
981	1868	34
982	1869	32
983	1871	30
984	1872	28
985	1873	26
986	1876	24
987	1877	22
988	1879	20
989	1880	18
990	1881	17
991	1883	15
992	1884	13
993	1886	11
994	1888	9
995	1892	7
996	1893	5
997	1894	3
998	1895	1
999	1897	0
